standar,term_localName,label,definition,usage,notes,type,controlled value string,tdwgutility_organizedInClass,SKOS_inSchema,tdwgutility_repeatable,examples,database,vann_preferredNamespacePrefix,vann_preferredNamespaceUri
plic: terms,Distance,Distance,Dispersal distance. e.g. 450 m.,,The distance reached by the structured dispersed.,"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
",,Dispersal,,,"de tipo MeasurementOrFactClass
",plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,Type,Type,Primary diet source. A controlled vocabulary is recommended.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Dispersal,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,ecologicalSignificanceAtomized,Atomized Ecological Significance,Ecological Significance element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,EcologicalSignificance,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,ecologicalSignificanceUnstructured,Unstructured Ecological Significance,Ecological Significance element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,EcologicalSignificance,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,environmentalEnvelopeAtomized,Atomized Environmental Envelope,Environmental envelope of a species expressed as an enumeration of measures and parameters.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,EnvironmentalEnvelope,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,environmentalEnvelopeUnstructured,Unstructured Environmental Envelope,environmentalEnvelopeas a a text block.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,EnvironmentalEnvelope,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,feedingAtomized,Atomized Feeding,feeding elemento in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Feeding,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,feedingUnstructured,Unstructured Feeding,feeding element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Feeding,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,DistributionUnstructured,Unstructured Distribution,Distribution element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,DistributionAtomized,Atomized Distribution,Distribution element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,DistributionScope,Distribution Scope,List of regions structured and categorized.,"
","A controlled vocabulary is recommended.
e.g. Historical, Current, Restricted and Wide.
","http://www.w3.org/2000/01/rdf-schema#Class


",,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,DistributionScopeType,Distribution Scope Type,"Categorization of scope qualifying the distribution presented in time (e.g. ""prior 1900"", ""current"", ""projected"", ""winter""), in space (e.g. ""in the Canary Islands"", ""Boreal""), by biological activity (e.g., ""foraging distribution"", ""reproductive area""), or any other criteria . A controled vocabulary is recommended. 
",,,"http://www.w3.org/2000/01/rdf-schema#Class

",,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
