replacing_version,replaced_version_localName
http://rs.tdwg.org/plic/terms/version/directThreatUnstructured-2022-06-14,directThreatUnstructured-2022-02-23
http://rs.tdwg.org/plic/terms/version/threatStatusUnstructured-2022-06-14,threatStatusUnstructured-2022-02-23
http://rs.tdwg.org/plic/terms/version/threatStatusAtomized-2022-06-14,threatStatusAtomized-2022-02-23
http://rs.tdwg.org/plic/terms/version/ThreatCategory-2022-06-14,ThreatCategory-2022-02-23
http://rs.tdwg.org/plic/terms/version/Authority-2022-06-14,Authority-2022-02-23
http://rs.tdwg.org/plic/terms/version/AppliesTo-2022-06-14,AppliesTo-2022-02-23
http://rs.tdwg.org/plic/terms/version/AppliesTo-2022-06-14,AppliesTo-2022-02-23
http://rs.tdwg.org/plic/terms/version/Strategy-2022-06-14,Strategy-2022-02-23
http://rs.tdwg.org/plic/terms/version/StrategyRemarks-2022-06-14,StrategyRemarks-2022-02-23
http://rs.tdwg.org/plic/terms/version/UsesAtomized-2022-06-14,UsesAtomized-2022-02-23
http://rs.tdwg.org/plic/terms/version/UsesUnstructured-2022-06-14,UsesUnstructured-2022-02-23
http://rs.tdwg.org/plic/terms/version/SourceOfInformation-2022-06-14,SourceOfInformation-2022-02-23
http://rs.tdwg.org/plic/terms/version/Use-Value-2022-06-14,Use-Value-2022-02-23
http://rs.tdwg.org/plic/terms/version/PartUsed-2022-06-14,PartUsed-2022-02-23
http://rs.tdwg.org/plic/terms/version/Users-2022-06-14,Users-2022-02-23
http://rs.tdwg.org/plic/terms/version/Organisms-2022-06-14,Organisms-2022-02-23
http://rs.tdwg.org/plic/terms/version/VernacularNameUseAnnotations-2022-06-14,VernacularNameUseAnnotations-2022-02-23
http://rs.tdwg.org/plic/terms/version/ProductionDetails-2022-06-14,ProductionDetails-2022-02-23
http://rs.tdwg.org/plic/terms/version/MeansOfApplication-Administration-2022-06-14,MeansOfApplication-Administration-2022-02-23
http://rs.tdwg.org/plic/terms/version/SeasonOfAvailability-Use-2022-06-14,SeasonOfAvailability-Use-2022-02-23
http://rs.tdwg.org/plic/terms/version/Conservation-ExplotationData-2022-06-14,Conservation-ExplotationData-2022-02-23
http://rs.tdwg.org/plic/terms/version/UseTypeAtomized-2022-06-14,UseTypeAtomized-2022-02-23
http://rs.tdwg.org/plic/terms/version/Economics-2022-06-14,Economics-2022-02-23
http://rs.tdwg.org/plic/terms/version/RatingPopularity-2022-06-14,RatingPopularity-2022-02-23
http://rs.tdwg.org/plic/terms/version/Properties-2022-06-14,Properties-2022-02-23
http://rs.tdwg.org/plic/terms/version/Potential-2022-06-14,Potential-2022-02-23
http://rs.tdwg.org/plic/terms/version/UseNotes-2022-06-14,UseNotes-2022-02-23
http://rs.tdwg.org/plic/terms/version/ManagementAndConservationAtomized-2022-06-14,ManagementAndConservationAtomized-2022-02-23
http://rs.tdwg.org/plic/terms/version/ManagementAndConservationType-2022-06-14,ManagementAndConservationType-2022-02-23
http://rs.tdwg.org/plic/terms/version/Objetives-2022-06-14,Objetives-2022-02-23
http://rs.tdwg.org/plic/terms/version/ManagementPlan-2022-06-14,ManagementPlan-2022-02-23
http://rs.tdwg.org/plic/terms/version/Actions-2022-06-14,Actions-2022-02-23
http://rs.tdwg.org/plic/terms/version/ActionsType-2022-06-14,ActionsType-2022-02-23
http://rs.tdwg.org/plic/terms/version/HumanAndEnvironmentalrelevance-2022-06-14,HumanAndEnvironmentalrelevance-2022-02-23
http://rs.tdwg.org/plic/terms/version/UsesManagementAndConservation-2022-06-14,UsesManagementAndConservation-2022-02-23
http://rs.tdwg.org/plic/terms/version/UsesManagementAndConservationUnstructured-2022-06-14,UsesManagementAndConservationUnstructured-2022-02-23
http://rs.tdwg.org/plic/terms/version/ManagementAndConservation-2022-06-14,ManagementAndConservation-2022-02-23
http://rs.tdwg.org/plic/terms/version/ManagementAndConservationUnstructured-2022-06-14,ManagementAndConservationUnstructured-2022-02-23
http://rs.tdwg.org/plic/terms/version/Uses-2022-06-14,Uses-2022-02-23
http://rs.tdwg.org/plic/terms/version/taxonomicDescriptionType-2022-06-14,taxonomicDescriptionType-2022-02-23
http://rs.tdwg.org/plic/terms/version/taxonRecordName-2022-06-14,taxonRecordName-2022-02-23
http://rs.tdwg.org/plic/terms/version/territoryAtomized-2022-06-14,territoryAtomized-2022-02-23
http://rs.tdwg.org/plic/terms/version/value-2022-06-14,value-2022-02-23
http://rs.tdwg.org/plic/terms/version/version-2022-06-14,version-2022-02-23
http://rs.tdwg.org/plic/terms/version/id-2022-06-14,id-2022-02-23
http://rs.tdwg.org/plic/terms/version/AncillaryData-2022-06-14,AncillaryData-2022-02-23
http://rs.tdwg.org/plic/terms/version/dataObjectBaseType-2022-06-14,dataObjectBaseType-2022-02-23
http://rs.tdwg.org/plic/terms/version/ScientificName-2022-06-14,ScientificName-2022-02-23
http://rs.tdwg.org/plic/terms/version/ScientificName-2022-06-14,ScientificName-2022-02-23
http://rs.tdwg.org/plic/terms/version/ScientificName-2022-06-14,ScientificName-2022-02-23
http://rs.tdwg.org/plic/terms/version/ScientificName-2022-06-14,ScientificName-2022-02-23
http://rs.tdwg.org/plic/terms/version/NomenclatureAndClassification-2022-06-14,NomenclatureAndClassification-2022-02-23
http://rs.tdwg.org/plic/terms/version/associatedPartyType-2022-06-14,associatedPartyType-2022-02-23
